Date,Observers,Experimental_Type,Plot,Pendant_code,CanopyPCover,H1 (cm),T1 (mm),H2,T2,H3,T3,H1,T1,H2,T2,H3,T3,AWC_in_1m,Starflower,Bunchberry,Partridgeberry,Canada mayflower,Red Oak,Red Maple,Spagnum Moss,Black Spruce,Eastern Hemlock,Lowbush Blueberry,Goldthread,Cinnamon Fern,Greater Whipwort,Sasparilla,ILF (Ilex mucronata),AWC,Dewberry,Wintergreen,UNKSEDGE,Swamp Azalea,Sundew,Leatherleaf,Creeping Snowberry,Dewdrop,THINSEDGE,BARE,AWC,WIP,EAH,ILF,BLS,LBB,SAS,REM,Azalea,HBB,Leatherleaf,Cottonwood,He-huckleberry,Bottle #,Redox,pH,GPS Waypoint
8/2/24,"RC, GM, JG, GB",CC,1,20535209,78.42,71,11,69,8,81,10,,,,,,,6,0.01,0.04,0.03,0.02,0.01,0.03,0.2,0.03,0,0.02,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.07,0.01,0.05,0.02,0.1,0,0,0,0,0,0,0,0,1,18,3.73,
,,CC,2,20641997,83.36,53,7,,,,,29,5,37,8,19,2,8,0.01,0,0,0.02,0,0.01,0.2,0.02,0,0.02,0.1,0.07,0.15,0.04,0.01,0.01,0,0,0,0,0,0,0,0,0,0.34,0.05,0,0.05,0.03,0.05,0.02,0.03,0,0,0,0,0,0,2,65,3.65,
,,CC,3,206411691,78.16,70,6,56,7,,,12,2,,,,,5,0,0.07,0.05,0.02,0,0.03,0.15,0,0,0.03,0.1,0,0.15,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.36,0.04,0,0.02,0.04,0.05,0.02,0.03,0,0,0,0,0,0,3,7,3.85,
,,CC,4,20641680,78.16,33,4,,,,,55,12,,,,,2,0,0.05,0,0.05,0.01,0.03,0.4,0,0,0,0.05,0.03,0.2,0,0.01,0,0.07,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0.1,0.03,0.03,0.03,0,0,0,0,0,0,4,37,3.76,
,,CC,5,21416006,78.16,19,2,44,5,33,8,25,4,31,6,,,19,0,0,0,0.02,0,0.1,0.15,0,0,0.05,0.15,0,0,0,0.02,0.1,0,0.15,0,0,0,0,0,0,0,0.26,0.1,0,0,0.1,0,0.15,0,0.1,0,0,0,0,0,5,23,3.59,
,,OC,6,9800166,63.08,111,11,51,8,61,5,110,22,46,5,,,17,0,0.1,0,0.02,0,0,0.2,0,0,0.1,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.38,0.15,0.02,0.02,0.1,0,0.15,0,0.2,0,0,0,0,0,6,87,3.6,
,,CC,7,2421923,83.62,61,7,20,2,,,52,6,48,9,,,11,0,0,0,0,0,0.05,0.5,0.02,0,0.02,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0.15,0.05,0,0,0,0,0,0,0,7,27,3.68,
,,OC,8,10116556,55.28,,,,,,,35,6,,,,,2,0,0,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0.7,0.02,0,0,0,0,0,0.2,0.1,0.05,0,0.07,0.02,0,0,0.07,0.07,0.05,0,0,0,8,30,3.55,
,,OC,9,10116553,45.14,22,2,15,2,18,3,,,,,,,5,0,0,0,0,0,0.01,0.5,0,0,0.01,0,0,0,0,0,0,0,0,0.4,0.05,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0.2,0.3,0.1,0,0,9,6.6,3.64,
,,OC,10,10116548,73.22,22,8,42,5,,,,,,,,,6,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0.05,0,0,0.1,0.15,0,0,0.03,0,0,0,0.07,0.05,0,0,0,0,0.25,0,0.1,0.2,0,0.02,0,0,10,6.4,3.77,
